Faculty,Fall_Course,Fall_Title,Spring_Course,Spring_Title,Fall_Load,Spring_Load,Total_Load,Fall_Credits,Spring_Credits,Total_Credits
Abbott,,,,,0,0,0,0.0,0.0,0.0
Alabi,,,CHEME-4620; CHEME-6430,Chemical Engineering Design; Kinetics and Dynamics in Molecular and Cellular Systems,0,2,2,0.0,4.0,4.0
Archer,,,,,0,0,0,0.0,0.0,0.0
Bauer,CHEME-4320; CHEME-5020; CHEME-5650; CHEME-6660,Chemical Engineering Laboratory; Immersive Professional Development for Chemical Engineering M. Eng.; Design Project; Analysis of Sustainable Energy Systems,CHEME-4620; CHEME-5240; CHEME-5651; CHEME-5999,Chemical Engineering Design; Chemical Process Safety Management; M. Eng. Design Project Studio; Special Projects in Chemical Engineering,4,4,8,6.333333333333333,5.0,11.333333333333332
Cardenas,,,CHEME-3900,Chemical Kinetics and Reactor Design,0,1,1,0.0,4.0,4.0
Celik,CHEME-2880; CHEME-4320,Biomolecular Engineering: Fundamentals and Applications; Chemical Engineering Laboratory,CHEME-5460; CHEME-5650,Introduction to Synthetic Biology; Design Project,2,2,4,5.333333333333333,2.0,7.333333333333333
Cleary,CHEME-5770,Principles in Process and Lean Engineering,,,1,0,1,3.0,0.0,3.0
Coso-Strong,CHEME-5651,M. Eng. Design Project Studio,CHEME-3720,Introduction to Process Dynamics and Control,1,1,2,1.0,2.0,3.0
Daniel,,,CHEME-3010,Career Perspectives,0,1,1,0.0,1.0,1.0
DeLisa,ENGRI-1120,Feast! Chemical and Biomolecular Processes and Products through Food,CHEME-5430,Bioprocess Engineering,1,1,2,1.5,3.0,4.5
Duncan,,,,,0,0,0,0.0,0.0,0.0
Engstrom,CHEME-4840,Microchemical and Microfluidic Systems,CHEME-6420,Chemical Kinetics and Transport,1,1,2,3.0,3.0,6.0
Escobedo,CHEME-6110,Mathematical Methods of Chemical Engineering Analysis,CHEME-5540,Principles of Molecular Simulation,1,1,2,3.0,3.0,6.0
Godwin,ENGRI-1120,Feast! Chemical and Biomolecular Processes and Products through Food,CHEME-6940,Discipline-Based Education Research Methods,1,1,2,1.5,3.0,4.5
Goldfarb,CHEME-3240,Heat and Mass Transfer,CHEME-4410,Air Pollution Control,1,1,2,4.0,3.0,7.0
Hanrath,CHEME-6662; CHEME-6681; CHEME-6780,"Solar Energy Module; Energy Analysis Project; Global Food, Energy, and Water Nexus",,,3,0,3,5.0,0.0,5.0
Harimoto,,,,,0,0,0,0.0,0.0,0.0
Hormozi,,,CHEME-3230,Fluid Mechanics,0,1,1,0.0,4.0,4.0
Joo,,,,,0,0,0,0.0,0.0,0.0
Kalra,CHEME-5310,Principles of Electrochemical Engineering,,,1,0,1,3.0,0.0,3.0
Koch,CHEME-6440,Aerosols and Colloids,CHEME-6240,Advanced Fluid Mechanics and Heat Transfer,1,1,2,3.0,3.0,6.0
Kowal,CHEME-6660; CHEME-6920; ENGRD-2190,Analysis of Sustainable Energy Systems; Principles and Practices of Graduate Research; Chemical Process Design and Analysis,CHEME-4020; CHEME-4620,Molecular Principles of Biomedical Engineering; Chemical Engineering Design,3,2,5,6.0,4.0,10.0
Li,CHEME-4320,Chemical Engineering Laboratory,CHEME-5440,Kinetics and Dynamics in Molecular and Cellular Systems,1,1,2,1.3333333333333333,3.0,4.333333333333333
Putnam,CHEME-6310,Engineering Principles for Drug Delivery,,,1,0,1,3.0,0.0,3.0
Stroock,CHEME-6230,Transport Phenomena for Chemical and Biomolecular Engineering,CHEME-2200,Physical Chemistry II for Engineers,1,1,2,3.0,4.0,7.0
Tester,,,,,0,0,0,0.0,0.0,0.0
Varner,CHEME-4800; CHEME-5660,"Principles of Computational Thinking for Engineers; Financial Data, Markets, and Mayhem for Scientists and Engineers",CHEME-4620; CHEME-5820,Chemical Engineering Design; Machine Learning and Artificial Intelligence Methods for Engineers,2,2,4,7.0,5.0,12.0
Yang,CHEME-5990,Medical and Industrial Biotechnology Seminar,CHEME-6400,Polymeric Materials,1,1,2,1.0,3.0,4.0
You,CHEME-6800; CHEME-6810; CHEME-6830; CHEME-6840,Computational Optimization; AI for Sustainability; AI for Energy Systems; AI for Digital Agriculture,CHEME-6810; CHEME-6888,AI for Sustainability; Deep Learning,4,2,6,9.0,7.0,16.0
Yu,CHEME-3130,Chemical Engineering Thermodynamics,,,1,0,1,4.0,0.0,4.0
Yue,CHEME-6130,Advanced Chemical Engineering Thermodynamics,CHEME-3320,Analysis of Separation Processes,1,1,2,3.0,4.0,7.0
